lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,0.0,80.0,30.0,5.0,-0.009982421160730559,0.017629471326216627,0.09485510509706718,-0.5602472876084943,-0.15291477985711793,1437,0.16123298135514605,0.35490605427974947,1.1613134426324179,5,-0.15598717307912055,40.0,0.002629514520688625,0.023650116236885385,FRAGILE
189.0,0.0,80.0,30.0,10.0,-0.009982421160730559,0.017629471326216627,0.09485510509706718,-0.5602472876084943,-0.05700753509315686,709,0.16123298135514605,0.4146685472496474,1.0981288447493898,5,-0.15598717307912055,40.0,0.002629514520688625,0.023650116236885385,FRAGILE
189.0,21.0,40.0,10.0,3.0,-0.014296359909151124,0.01592312598101428,0.12211838512599982,-0.8963280075148331,-0.24522411395944171,2315,0.15180793238118648,0.3382289416846652,1.0813358623039184,5,-1.1925222110023697,20.0,-0.012557486080114377,0.018155096944733048,FRAGILE
189.0,21.0,40.0,10.0,5.0,-0.014296359909151124,0.01592312598101428,0.12211838512599982,-0.8963280075148331,nan,1330,0.15180793238118648,0.375187969924812,1.1758867192754674,5,-1.1925222110023697,20.0,-0.012557486080114377,0.018155096944733048,FRAGILE
189.0,21.0,40.0,10.0,10.0,-0.014296359909151124,0.01592312598101428,0.12211838512599982,-0.8963280075148331,-0.035760485082479504,649,0.15180793238118648,0.4345146379044684,1.0969276775146377,5,-1.1925222110023697,20.0,-0.012557486080114377,0.018155096944733048,FRAGILE
189.0,21.0,40.0,15.0,3.0,-0.007173496812611813,0.01583225528287869,0.08201919518824696,-0.44680376879812633,-0.19318533885416952,2249,0.14509774250138271,0.3405958203646065,1.1906592912983396,5,-0.39812618673734285,20.0,-0.0017570593542981737,0.017472244858074373,FRAGILE
189.0,21.0,40.0,15.0,5.0,-0.007173496812611813,0.01583225528287869,0.08201919518824696,-0.44680376879812633,-0.08140141995360929,1304,0.14509774250138271,0.38496932515337423,1.207387474885053,5,-0.39812618673734285,20.0,-0.0017570593542981737,0.017472244858074373,FRAGILE
189.0,21.0,40.0,15.0,10.0,-0.007173496812611813,0.01583225528287869,0.08201919518824696,-0.44680376879812633,-0.018860031706999836,656,0.14509774250138271,0.4405487804878049,1.1581766686285409,5,-0.39812618673734285,20.0,-0.0017570593542981737,0.017472244858074373,FRAGILE
189.0,21.0,40.0,20.0,3.0,-0.00607688060077205,0.016068687170187387,0.07050022065685113,-0.3712927648771061,-0.18982257278706605,2252,0.1427526790007883,0.35657193605683835,1.131014969802055,5,-0.34239070170967156,20.0,-0.001019244845804379,0.012180043739214776,FRAGILE
189.0,21.0,40.0,20.0,5.0,-0.00607688060077205,0.016068687170187387,0.07050022065685113,-0.3712927648771061,-0.08726127685036118,1367,0.1427526790007883,0.38551572787125093,1.2005214657640273,5,-0.34239070170967156,20.0,-0.001019244845804379,0.012180043739214776,FRAGILE
189.0,21.0,40.0,20.0,10.0,-0.00607688060077205,0.016068687170187387,0.07050022065685113,-0.3712927648771061,-0.03512400341670652,678,0.1427526790007883,0.4336283185840708,1.1074767319304224,5,-0.34239070170967156,20.0,-0.001019244845804379,0.012180043739214776,FRAGILE
