time,gross_exposure,net_exposure,n_positions,ret_gross_weighted,ret_net_weighted,turnover_weight_units,regime_on
2021-05-04,1.0229514108923692,0.18951009622535983,27,-0.0072223310232869846,-0.007317481288892632,0.09515026560564747,1.0
2021-05-05,1.0178436073804868,0.18331995022063485,29,0.011199446174227237,0.011140488799401074,0.05895737482616334,1.0
2021-05-06,1.0234569323068186,0.17388821822998574,28,-0.001963985149016124,-0.0020494857990911103,0.08550065007498592,1.0
2021-05-07,1.0442372713174393,0.17600657244017726,29,0.0016519527328329234,0.000607715461515484,1.0442372713174393,0.0
2021-05-08,0.0,0.0,0,0.0,-0.0010226140812367671,1.022614081236767,1.0
2021-05-09,1.0226140812367672,0.16203828382393265,27,-0.0003132283994767757,-0.0003271470928179886,0.013918693341212929,1.0
2021-05-10,1.0187743285670154,0.1580063193212612,27,-0.003909997387088669,-0.004048554262084685,0.13855687499601543,1.0
2021-05-11,1.0171863096494966,0.16988657122774015,29,0.0004515648987708964,0.00038346590126093534,0.06809899750996108,1.0
2021-05-12,1.0176246000792,0.17587583072300428,28,-0.01545206097249887,-0.01646968557257807,1.0176246000792002,0.0
2021-05-13,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-14,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-15,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-16,0.0,0.0,0,0.0,-0.0010570007394256663,1.0570007394256664,1.0
2021-05-17,1.0570007394256664,0.1921348957658225,29,-0.008040780467348409,-0.009097781206774076,1.0570007394256664,0.0
2021-05-18,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-19,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-20,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-21,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-22,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-23,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-24,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-25,0.0,0.0,0,0.0,0.0,0.0,0.0
