symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
GBPUSD,LONG,2021-07-01,2021-07-07,1.37586,1.37991,6,5,0.03034,8,0.002944,0.000944,-5.6e-05,20.0,0.01011,-0.002028,5,2,-0.003583,rotated_out_top8,True,1,daily
USDCHF,SHORT,2021-06-16,2021-07-08,0.90863,0.91474,22,19,-0.03301,5,-0.006724,-0.008724,-0.009724,20.0,0.0,-0.016409,0,14,-0.018974,rotated_out_top8,False,4,daily
AUDUSD,LONG,2021-06-24,2021-07-08,0.7581,0.74322,14,12,0.02682,8,-0.019628,-0.021628,-0.022628,20.0,0.004604,-0.018085,2,8,-0.017029,rotated_out_top8,False,1,daily
AUDCAD,SHORT,2021-07-07,2021-07-11,0.933908,0.932196,4,3,-0.01905,8,0.001834,-0.000166,-0.001166,20.0,0.0,0.0,0,0,-0.000956,rotated_out_top8,False,1,daily
GBPUSD,LONG,2021-07-08,2021-07-11,1.37893,1.38981,3,2,0.02558,7,0.00789,0.00589,0.00489,20.0,0.008064,-0.003474,2,1,0.0,rotated_out_top8,True,1,daily
CADCHF,LONG,2021-07-04,2021-07-12,0.747551,0.734621,8,7,0.02193,8,-0.017296,-0.019296,-0.020296,20.0,0.00593,-0.029596,3,5,-0.02344,rotated_out_top8,False,1,daily
AUDCHF,LONG,2021-07-11,2021-07-12,0.684508,0.684146,1,1,0.02997,5,-0.000529,-0.002529,-0.003529,20.0,0.00087,-0.002069,1,1,0.0,rotated_out_top8,False,0,daily
AUDUSD,LONG,2021-07-11,2021-07-13,0.74889,0.7439,2,2,0.02471,7,-0.006663,-0.008663,-0.009663,20.0,0.000855,-0.005488,2,2,-0.001589,rotated_out_top8,False,0,daily
USDCHF,SHORT,2021-07-12,2021-07-13,0.915,0.91888,1,1,-0.02418,7,-0.00424,-0.00624,-0.00724,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
AUDCAD,SHORT,2021-07-13,2021-07-14,0.931422,0.936124,1,1,-0.01824,8,-0.005048,-0.007048,-0.008048,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
GBPUSD,LONG,2021-07-12,2021-07-15,1.38858,1.38276,3,3,0.02897,5,-0.004191,-0.006191,-0.007191,20.0,0.001714,-0.006215,1,2,-0.005819,rotated_out_top8,False,0,daily
USDCHF,SHORT,2021-07-14,2021-07-15,0.9147,0.91783,1,1,-0.02058,8,-0.003422,-0.005422,-0.006422,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
AUDCAD,SHORT,2021-07-15,2021-07-16,0.934537,0.932914,1,1,-0.02156,8,0.001736,-0.000264,-0.001264,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
NZDCHF,LONG,2021-07-15,2021-07-19,0.64338,0.636399,4,3,0.02492,6,-0.010851,-0.012851,-0.013851,20.0,0.00577,-0.013123,1,1,-0.002075,rotated_out_top8,False,0,daily
AUDCHF,LONG,2021-07-16,2021-07-19,0.680091,0.673982,3,2,0.01928,8,-0.008983,-0.010983,-0.011983,20.0,0.007087,-0.002988,1,1,-0.002259,rotated_out_top8,False,0,daily
GBPCHF,LONG,2021-07-08,2021-08-03,1.261362,1.257713,26,22,0.02766,6,-0.002893,-0.004893,-0.005893,20.0,0.014171,-0.013108,5,11,-0.011801,rotated_out_top8,False,1,daily
GBPUSD,LONG,2021-07-19,2021-08-03,1.36683,1.39166,15,13,0.02226,7,0.018166,0.016166,0.015166,20.0,0.023017,-0.007075,11,2,-0.005334,rotated_out_top8,True,0,daily
