symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
AUDCHF,LONG,2022-04-11,2022-09-08,0.69057,0.655175,150,129,0.03736,3,-0.051254,-0.053254,-0.054254,20.0,0.040477,-0.065049,22,71,-0.077339,rotated_out_top8,False,24,weekly
EURUSD,SHORT,2021-11-17,2023-01-11,1.13173,1.0765,420,360,-0.02628,6,0.048801,0.046801,0.045801,20.0,0.145512,-0.011823,270,70,-0.100987,rotated_out_top8,True,57,weekly
USDCHF,LONG,2022-04-11,2023-01-11,0.93144,0.93094,275,236,0.02219,6,-0.000537,-0.002537,-0.003537,20.0,0.089431,-0.015879,167,235,-0.099201,rotated_out_top8,False,45,weekly
GBPUSD,SHORT,2022-04-11,2023-01-11,1.30223,1.21567,275,236,-0.0344,5,0.066471,0.064471,0.063471,20.0,0.167774,-0.001866,146,6,-0.129954,rotated_out_top8,True,45,weekly
CADCHF,LONG,2022-04-11,2023-01-11,0.736957,0.693267,275,236,0.0199,7,-0.059284,-0.061284,-0.062284,20.0,0.063955,-0.086058,31,230,-0.136323,sign_flip,False,45,weekly
NZDCAD,SHORT,2022-09-08,2023-01-11,0.793855,0.854859,125,107,-0.03165,6,-0.076846,-0.078846,-0.079846,20.0,0.028719,-0.096708,27,87,-0.135306,sign_flip,False,21,weekly
NZDUSD,SHORT,2022-09-08,2023-01-11,0.60689,0.63661,125,107,-0.06337,3,-0.048971,-0.050971,-0.051971,20.0,0.081234,-0.054919,33,84,-0.147193,rotated_out_top8,False,21,weekly
BTCUSD,SHORT,2022-09-08,2023-02-25,19324.96,23144.48,170,170,-0.1,1,-0.197647,-0.199647,-0.200647,20.0,0.157718,-0.263606,75,164,-0.468358,sign_flip,False,32,weekly
NZDCHF,SHORT,2023-01-11,2023-03-02,0.592646,0.585733,50,43,-0.05563,5,0.011665,0.009665,0.008665,20.0,0.025809,-0.005202,34,16,-0.023253,rotated_out_top8,True,7,weekly
AUDUSD,SHORT,2023-01-11,2023-03-02,0.69085,0.67311,50,43,-0.07084,3,0.025679,0.023679,0.022679,20.0,0.024839,-0.026489,40,16,-0.034494,rotated_out_top8,True,7,weekly
USDCAD,LONG,2023-01-11,2023-03-07,1.34283,1.37493,55,47,0.06195,4,0.023905,0.021905,0.020905,20.0,0.017575,-0.012422,39,20,-0.016547,rotated_out_top8,True,7,weekly
NZDCAD,LONG,2023-01-11,2023-04-11,0.854859,0.833776,90,77,0.04666,8,-0.024663,-0.026663,-0.027663,20.0,0.031153,-0.029674,7,48,-0.038701,rotated_out_top8,False,12,weekly
AUDCAD,LONG,2023-03-02,2023-04-11,0.915207,0.895612,40,34,0.05923,4,-0.02141,-0.02341,-0.02441,20.0,0.014798,-0.025607,18,28,-0.024955,rotated_out_top8,False,5,weekly
